200000,1929,1
400000,1579,3
600000,1742,5
800000,1319,6
1000000,1344,7
1200000,1415,9
1400000,1597,10
1600000,1361,12
1800000,1712,13
2000000,1708,15
2200000,1402,17
2400000,1440,18
2600000,2394,20
2800000,1572,22
3000000,1500,24
3200000,1664,25
3400000,1510,27
3600000,1719,28
3800000,1548,30
4000000,1988,32
4200000,2710,35
4400000,1957,37
4600000,1747,38
4800000,2046,40
5000000,1904,42
5200000,1986,44
5400000,2395,47
5600000,2266,49
5800000,2081,51
6000000,2148,53
6200000,2254,55
6400000,2982,58
6600000,3661,62
6800000,2477,65
7000000,2295,67
7200000,2864,70
7400000,2240,72
7600000,3310,75
7800000,2149,77
8000000,3183,81
8200000,2321,83
8400000,2382,85
8600000,3227,89
8800000,2637,91
9000000,2636,94
9200000,3517,97
9400000,2631,100
9600000,2424,102
9800000,3988,106
10000000,2426,109
10200000,2876,112
10400000,3475,115
10600000,3226,118
10800000,4084,122
11000000,3500,126
11200000,4472,130
11400000,3564,134
11600000,4233,138
11800000,4557,143
12000000,3266,146
12200000,3954,150
12400000,4956,155
12600000,3717,159
12800000,3939,163
13000000,4324,167
13200000,4833,172
13400000,5165,177
13600000,6573,184
13800000,7032,191
14000000,5692,196
14200000,6291,203
14400000,4746,207
14600000,6948,214
14800000,4835,219
15000000,5152,224
15200000,6635,231
15400000,6934,238
15600000,5123,243
15800000,7913,251
16000000,5452,256
16200000,6482,263
16400000,6761,269
16600000,6170,276
16800000,7297,283
17000000,6147,289
17200000,6927,296
17400000,6604,303
17600000,6609,309
17800000,8403,318
18000000,5852,324
18200000,7210,331
18400000,8356,339
18600000,7402,346
18800000,6878,353
19000000,8511,362
19200000,7720,370
19400000,8002,378
19600000,8997,387
19800000,7937,395
20000000,8337,403
20200000,8232,411
20400000,6708,418
20600000,8626,426
20800000,8118,435
21000000,8347,443
21200000,8700,452
21400000,8497,460
21600000,8091,468
21800000,9990,478
22000000,6903,485
22200000,7601,493
22400000,8056,501
22600000,9113,510
22800000,8804,519
23000000,10192,529
23200000,8331,537
23400000,9043,546
23600000,8758,555
23800000,8516,563
24000000,9278,573
24200000,9551,582
24400000,9319,592
24600000,9399,601
24800000,9297,610
25000000,9549,620
25200000,10176,630
25400000,10408,640
25600000,10421,651
25800000,11016,662
26000000,8747,671
26200000,8854,679
26400000,10248,690
26600000,9342,699
26800000,14644,714
27000000,13644,727
27200000,9520,737
27400000,10940,748
27600000,10590,758
27800000,10442,769
28000000,10457,779
28200000,10665,790
28400000,13775,804
28600000,9962,814
28800000,10127,824
29000000,10999,835
29200000,12502,847
29400000,9648,857
29600000,12139,869
29800000,10555,880
30000000,11238,891
30200000,10427,901
30400000,9307,911
30600000,10678,921
30800000,11664,933
31000000,11582,945
31200000,9319,954
31400000,13751,968
31600000,12559,980
31800000,12638,993
32000000,11420,1004
32200000,15080,1019
32400000,11744,1031
32600000,14110,1045
32800000,11403,1057
33000000,10270,1067
33200000,11928,1079
33400000,12352,1091
33600000,10036,1101
33800000,12446,1114
34000000,12318,1126
34200000,11248,1137
34400000,13655,1151
34600000,12066,1163
34800000,11802,1175
35000000,15723,1190
35200000,11109,1202
35400000,14618,1216
35600000,13550,1230
35800000,12347,1242
36000000,15616,1258
36200000,12877,1271
36400000,14468,1285
36600000,15517,1301
36800000,11952,1313
37000000,13419,1326
37200000,16495,1342
37400000,13354,1356
37600000,16591,1372
37800000,12124,1384
38000000,13052,1398
38200000,14940,1412
38400000,11980,1424
38600000,13919,1438
38800000,14267,1453
39000000,13497,1466
39200000,17787,1484
39400000,10410,1494
39600000,16051,1510
39800000,10844,1521
40000000,15299,1537
40200000,13888,1550
40400000,16095,1567
40600000,11779,1578
40800000,14192,1592
41000000,10434,1603
41200000,12689,1616
41400000,15031,1631
41600000,10876,1642
41800000,15243,1657
42000000,12343,1669
42200000,16543,1686
42400000,12163,1698
42600000,13819,1712
42800000,10758,1722
43000000,12181,1735
43200000,11500,1746
43400000,13129,1759
43600000,13345,1773
43800000,12096,1785
44000000,11111,1796
44200000,13429,1809
44400000,12621,1822
44600000,13110,1835
44800000,11567,1846
45000000,14842,1861
45200000,10584,1872
45400000,13857,1886
45600000,10417,1896
45800000,13503,1910
46000000,13878,1924
46200000,15612,1939
46400000,15228,1954
46600000,13609,1968
46800000,14957,1983
47000000,13859,1997
47200000,13214,2010
47400000,12391,2022
47600000,14967,2037
47800000,10304,2048
48000000,15196,2063
48200000,12656,2076
48400000,15691,2091
48600000,12793,2104
48800000,16676,2121
49000000,13879,2135
49200000,12681,2147
49400000,15152,2162
49600000,11103,2174
49800000,12807,2186
50000000,11517,2198
50200000,15029,2213
50400000,14723,2228
50600000,11815,2239
50800000,13638,2253
51000000,13586,2267
51200000,16039,2283
51400000,12202,2295
51600000,16693,2312
51800000,16083,2328
52000000,13482,2341
52200000,15797,2357
52400000,12725,2370
52600000,12686,2382
52800000,11130,2393
53000000,15119,2409
53200000,12399,2421
53400000,14270,2435
53600000,15953,2451
53800000,13166,2464
54000000,16056,2480
54200000,12301,2493
54400000,14313,2507
54600000,15748,2523
54800000,13806,2537
55000000,13999,2551
55200000,15501,2566
55400000,15052,2581
55600000,13317,2594
55800000,15117,2610
56000000,15849,2625
56200000,12352,2638
56400000,16752,2655
56600000,14056,2669
56800000,14194,2683
57000000,14372,2697
57200000,16536,2714
57400000,13445,2727
57600000,15270,2742
57800000,12287,2755
58000000,12438,2767
58200000,14324,2781
58400000,12062,2794
58600000,13363,2807
58800000,15924,2823
59000000,11012,2834
59200000,13828,2848
