 50000 , 821
 100000 , 616
 150000 , 635
 200000 , 588
 250000 , 635
 300000 , 568
 350000 , 607
 400000 , 605
 450000 , 584
 500000 , 579
 550000 , 613
 600000 , 612
 650000 , 620
 700000 , 607
 750000 , 637
 800000 , 630
 850000 , 629
 900000 , 637
 950000 , 614
 1000000 , 652
 1050000 , 617
 1100000 , 642
 1150000 , 611
 1200000 , 621
 1250000 , 617
 1300000 , 618
 1350000 , 639
 1400000 , 615
 1450000 , 612
 1500000 , 649
 1550000 , 659
 1600000 , 664
 1650000 , 772
 1700000 , 725
 1750000 , 643
 1800000 , 681
 1850000 , 687
 1900000 , 662
 1950000 , 879
 2000000 , 988
 2050000 , 755
 2100000 , 767
 2150000 , 684
 2200000 , 666
 2250000 , 655
 2300000 , 758
 2350000 , 654
 2400000 , 776
 2450000 , 723
 2500000 , 690
 2550000 , 753
 2600000 , 694
 2650000 , 740
 2700000 , 725
 2750000 , 735
 2800000 , 1038
 2850000 , 899
 2900000 , 900
 2950000 , 947
 3000000 , 818
 3050000 , 744
 3100000 , 772
 3150000 , 797
 3200000 , 778
 3250000 , 743
 3300000 , 1008
 3350000 , 862
 3400000 , 1052
 3450000 , 836
 3500000 , 851
 3550000 , 785
 3600000 , 830
 3650000 , 1092
 3700000 , 996
 3750000 , 984
 3800000 , 878
 3850000 , 927
 3900000 , 938
 3950000 , 1376
 4000000 , 2048
 4050000 , 1136
 4100000 , 1116
 4150000 , 1139
 4200000 , 1161
 4250000 , 1103
 4300000 , 1136
 4350000 , 1133
 4400000 , 1147
 4450000 , 1005
 4500000 , 948
 4550000 , 1018
 4600000 , 1136
 4650000 , 1055
 4700000 , 954
 4750000 , 1161
 4800000 , 985
 4850000 , 1068
 4900000 , 1057
 4950000 , 1030
 5000000 , 1090
 5050000 , 919
 5100000 , 902
 5150000 , 926
 5200000 , 905
 5250000 , 928
 5300000 , 920
 5350000 , 958
 5400000 , 957
 5450000 , 1201
 5500000 , 961
 5550000 , 957
 5600000 , 948
 5650000 , 985
 5700000 , 980
 5750000 , 1095
 5800000 , 1024
 5850000 , 979
 5900000 , 1059
 5950000 , 1014
 6000000 , 1038
 6050000 , 1028
 6100000 , 996
 6150000 , 1017
 6200000 , 995
 6250000 , 995
 6300000 , 1029
 6350000 , 1059
 6400000 , 1065
 6450000 , 1230
 6500000 , 1158
 6550000 , 1036
 6600000 , 1064
 6650000 , 1194
 6700000 , 1129
 6750000 , 1244
 6800000 , 1066
 6850000 , 1019
 6900000 , 1062
 6950000 , 1475
 7000000 , 1072
 7050000 , 1159
 7100000 , 1089
 7150000 , 1084
 7200000 , 1098
 7250000 , 1225
 7300000 , 1104
 7350000 , 1064
 7400000 , 1059
 7450000 , 1144
 7500000 , 1418
 7550000 , 1486
 7600000 , 1159
 7650000 , 1088
 7700000 , 1122
 7750000 , 1071
 7800000 , 1083
 7850000 , 1095
 7900000 , 1027
 7950000 , 1082
 8000000 , 1049
 8050000 , 1134
 8100000 , 1066
 8150000 , 1089
 8200000 , 1287
 8250000 , 1570
 8300000 , 1427
 8350000 , 1108
 8400000 , 1218
 8450000 , 1217
 8500000 , 1182
 8550000 , 1114
 8600000 , 1107
 8650000 , 1088
 8700000 , 1172
 8750000 , 1110
 8800000 , 1080
 8850000 , 1403
 8900000 , 1745
 8950000 , 1263
 9000000 , 1176
 9050000 , 1245
 9100000 , 1186
 9150000 , 1255
 9200000 , 1084
 9250000 , 1205
 9300000 , 1231
 9350000 , 1164
 9400000 , 1101
 9450000 , 1477
 9500000 , 1524
 9550000 , 2287
 9600000 , 1150
 9650000 , 1115
 9700000 , 1096
 9750000 , 1169
 9800000 , 1183
 9850000 , 1114
 9900000 , 1107
 9950000 , 1182
 10000000 , 1417
